antixocs € antixocs € AQ0CN0 € əntiʃˈɔks
antracosi € antracosi € NCFS000 € əntɾəkˈɔzi
antracosis € antracosi € NCFP000 € əntɾəkˈɔzis
antranilat € antranilat € NCMS000 € əntɾənilˈat
antranilats € antranilat € NCMP000 € əntɾənilˈats
antranílic € antranílic € AQ0MS0 € əntɾənˈilik
antranílica € antranílic € AQ0FS0 € əntɾənˈilikə
antranílics € antranílic € AQ0MP0 € əntɾənˈiliks
antraníliques € antranílic € AQ0FP0 € əntɾənˈilikəs
antraquinona € antraquinona € NCFS000 € əntɾəkinˈonə
antraquinones € antraquinona € NCFP000 € əntɾəkinˈonəs
antraquinònic € antraquinònic € AQ0MS0 € əntɾəkinˈɔnik
antraquinònic € antraquinònic € NCMS000 € əntɾəkinˈɔnik
antraquinònica € antraquinònic € AQ0FS0 € əntɾəkinˈɔnikə
antraquinònics € antraquinònic € AQ0MP0 € əntɾəkinˈɔniks
antraquinònics € antraquinònic € NCMP000 € əntɾəkinˈɔniks
antraquinòniques € antraquinònic € AQ0FP0 € əntɾəkinˈɔnikəs
Antratsit € Antratsit € NPCSG00 € əntɾətsˈit
àntrax € àntrax € NCMS000 € ˈantɾəks
àntraxs € àntrax € NCMP000 € ˈantɾəkss
antre € antre € NCMS000 € ˈantɾə
antrè € antrè € NCMS000 € əntɾˈɛ
antré € antrè € NCMS000 € əntɾˈe
antrens € antrè € NCMP000 € əntɾˈɛns
antres € antre € NCMP000 € ˈantɾəs
Antrim € Antrim € NPCSG00 € əntɾˈim
antròpic € antròpic € AQ0MS0 € əntɾˈɔpik
antròpica € antròpic € AQ0FS0 € əntɾˈɔpikə
antròpics € antròpic € AQ0MP0 € əntɾˈɔpiks
antròpiques € antròpic € AQ0FP0 € əntɾˈɔpikəs
antropització € antropització € NCFS000 € əntɾupidzəsiˈo
antropocè € antropocè € NCMS000 € əntɾupusˈɛ
antropocèntric € antropocèntric € AQ0MS0 € əntɾupusˈɛntɾik
antropocèntrica € antropocèntric € AQ0FS0 € əntɾupusˈɛntɾikə
antropocèntrics € antropocèntric € AQ0MP0 € əntɾupusˈɛntɾiks
antropocèntriques € antropocèntric € AQ0FP0 € əntɾupusˈɛntɾikəs
antropocentrisme € antropocentrisme € NCMS000 € əntɾupusəntɾˈizmə
antropocentrismes € antropocentrisme € NCMP000 € əntɾupusəntɾˈizməs
antropocòria € antropocòria € NCFS000 € əntɾupukˈɔɾiə
antropocòries € antropocòria € NCFP000 € əntɾupukˈɔɾiəs
antropòfag € antropòfag € AQ0MS0 € əntɾupˈɔfək
antropòfag € antropòfag € NCMS000 € əntɾupˈɔfək
antropòfaga € antropòfag € AQ0FS0 € əntɾupˈɔfəɣə
antropòfaga € antropòfag € NCFS000 € əntɾupˈɔfəɣə
antropofàgia € antropofàgia € NCFS000 € əntɾupufˈaʒiə
antropofàgies € antropofàgia € NCFP000 € əntɾupufˈaʒiəs
antropòfags € antropòfag € AQ0MP0 € əntɾupˈɔfəks
antropòfags € antropòfag € NCMP000 € əntɾupˈɔfəks
antropòfagues € antropòfag € AQ0FP0 € əntɾupˈɔfəɣəs
antropòfagues € antropòfag € NCFP000 € əntɾupˈɔfəɣəs
antropòfil € antropòfil € AQ0MS0 € əntɾupˈɔfil
antropòfila € antropòfil € AQ0FS0 € əntɾupˈɔfilə
antropòfiles € antropòfil € AQ0FP0 € əntɾupˈɔfiləs
antropòfils € antropòfil € AQ0MP0 € əntɾupˈɔfils
antropofòbia € antropofòbia € NCFS000 € əntɾupufˈɔβiə
antropofòbies € antropofòbia € NCFP000 € əntɾupufˈɔβiəs
antropogènesi € antropogènesi € NCFS000 € əntɾupuʒˈɛnəzi
antropogènesis € antropogènesi € NCFP000 € əntɾupuʒˈɛnəzis
antropogènic € antropogènic € AQ0MS0 € əntɾupuʒˈɛnik
antropogènica € antropogènic € AQ0FS0 € əntɾupuʒˈɛnikə
antropogènics € antropogènic € AQ0MP0 € əntɾupuʒˈɛniks
antropogèniques € antropogènic € AQ0FP0 € əntɾupuʒˈɛnikəs
antropogeografia € antropogeografia € NCFS000 € əntɾupuʒeuɣɾəfˈiə
antropogeografies € antropogeografia € NCFP000 € əntɾupuʒeuɣɾəfˈiəs
antropoide € antropoide € AQ0CS0 € əntɾupˈɔjðə
antropoide € antropoide € NCMS000 € əntɾupˈɔjðə
antropoides € antropoide € AQ0CP0 € əntɾupˈɔjðəs
antropoides € antropoide € NCMP000 € əntɾupˈɔjðəs
antropòleg € antropòleg € NCMS000 € əntɾupˈɔlək
antropòlegs € antropòleg € NCMP000 € əntɾupˈɔləks
antropòloga € antropòleg € NCFS000 € əntɾupˈɔluɣə
antropologia € antropologia € NCFS000 € əntɾupuluʒˈiə
antropològic € antropològic € AQ0MS0 € əntɾupulˈɔʒik
antropològica € antropològic € AQ0FS0 € əntɾupulˈɔʒikə
antropològics € antropològic € AQ0MP0 € əntɾupulˈɔʒiks
antropologies € antropologia € NCFP000 € əntɾupuluʒˈiəs
antropològiques € antropològic € AQ0FP0 € əntɾupulˈɔʒikəs
antropòlogues € antropòleg € NCFP000 € əntɾupˈɔluɣəs
antropomància € antropomància € NCFS000 € əntɾupumˈansiə
antropomàncies € antropomància € NCFP000 € əntɾupumˈansiəs
antropometria € antropometria € NCFS000 € əntɾupumətɾˈiə
antropomètric € antropomètric € AQ0MS0 € əntɾupumˈɛtɾik
antropomètrica € antropomètric € AQ0FS0 € əntɾupumˈɛtɾikə
antropomètrics € antropomètric € AQ0MP0 € əntɾupumˈɛtɾiks
antropometries € antropometria € NCFP000 € əntɾupumətɾˈiəs
antropomètriques € antropomètric € AQ0FP0 € əntɾupumˈɛtɾikəs
antropomorf € antropomorf € AQ0MS0 € əntɾupumˈɔrf
antropomorf € antropomorf € NCMS000 € əntɾupumˈɔrf
antropomorfa € antropomorf € AQ0FS0 € əntɾupumˈɔrfə
antropomorfes € antropomorf € AQ0FP0 € əntɾupumˈɔrfəs
antropomòrfic € antropomòrfic € AQ0MS0 € əntɾupumˈɔrfik
antropomòrfica € antropomòrfic € AQ0FS0 € əntɾupumˈɔrfikə
antropomòrfics € antropomòrfic € AQ0MP0 € əntɾupumˈɔrfiks
antropomòrfiques € antropomòrfic € AQ0FP0 € əntɾupumˈɔrfikəs
antropomorfisme € antropomorfisme € NCMS000 € əntɾupumurfˈizmə
antropomorfismes € antropomorfisme € NCMP000 € əntɾupumurfˈizməs
antropomorfista € antropomorfista € NCCS000 € əntɾupumurfˈistə
antropomorfistes € antropomorfista € NCCP000 € əntɾupumurfˈistəs
antropomorfita € antropomorfita € NCCS000 € əntɾupumurfˈitə
antropomorfites € antropomorfita € NCCP000 € əntɾupumurfˈitəs
antropomorfs € antropomorf € AQ0MP0 € əntɾupumˈɔrfs
antropomorfs € antropomorf € NCMP000 € əntɾupumˈɔrfs
antropònim € antropònim € NCMS000 € əntɾupˈɔnim
antroponímia € antroponímia € NCFS000 € əntɾupunˈimiə
antroponímic € antroponímic € AQ0MS0 € əntɾupunˈimik
antroponímica € antroponímic € AQ0FS0 € əntɾupunˈimikə
antroponímics € antroponímic € AQ0MP0 € əntɾupunˈimiks
antroponímies € antroponímia € NCFP000 € əntɾupunˈimiəs
antroponímiques € antroponímic € AQ0FP0 € əntɾupunˈimikəs
antropònims € antropònim € NCMP000 € əntɾupˈɔnims
antroposofia € antroposofia € NCFS000 € əntɾupuzufˈiə
antroposòfiques € antroposòfic € AQ0FP0 € əntɾupuzˈɔfikəs
antropotopònim € antropotopònim € NCMS000 € əntɾuputupˈɔnim
antropotopònims € antropotopònim € NCMP000 € əntɾuputupˈɔnims
antropozoonosi € antropozoonosi € NCFS000 € əntɾupuzuunˈɔzi
antrosol € antrosol € NCMS000 € əntɾusˈɔl
antrosòl € antrosòl € NCMS000 € əntɾusˈɔl
antrosols € antrosol € NCMP000 € əntɾusˈɔls
antrosòls € antrosòl € NCMP000 € əntɾusˈɔls
ants € ant € NCMP000 € ˈans
Antsiranana € Antsiranana € NPCSG00 € ənsiɾənˈanə
antuixà € antuixà € NCMS000 € əntuʃˈa
antuixans € antuixà € NCMP000 € əntuʃˈans
antull € antull € NCMS000 € əntˈuʎ
antulla € antullar € VMIP3S00 € əntˈuʎə
antulla € antullar € VMM02S00 € əntˈuʎə
antullà € antullar € VMIS3S00 € əntuʎˈa
antullada € antullar € VMP00SF0 € əntuʎˈaðə
antullades € antullar € VMP00PF0 € əntuʎˈaðəs
antulladís € antulladís € AQ0MS0 € əntuʎəðˈis
antulladissa € antulladís € AQ0FS0 € əntuʎəðˈisə
antulladisses € antulladís € AQ0FP0 € əntuʎəðˈisəs
antulladissos € antulladís € AQ0MP0 € əntuʎəðˈisus
antullant € antullar € VMG00000 € əntuʎˈan
antullar € antullar € VMN00000 € əntuʎˈa
antullarà € antullar € VMIF3S00 € əntuʎəɾˈa
antullaran € antullar € VMIF3P00 € əntuʎəɾˈan
antullaràs € antullar € VMIF2S00 € əntuʎəɾˈas
antullaré € antullar € VMIF1S00 € əntuʎəɾˈe
antullarem € antullar € VMIF1P00 € əntuʎəɾˈɛm
antullàrem € antullar € VMIS1P00 € əntuʎˈaɾəm
antullaren € antullar € VMIS3P00 € əntuʎˈaɾən
antullares € antullar € VMIS2S00 € əntuʎˈaɾəs
antullareu € antullar € VMIF2P00 € əntuʎəɾˈɛw
antullàreu € antullar € VMIS2P00 € əntuʎˈaɾəw
antullaria € antullar € VMCC1S00 € əntuʎəɾˈiə
antullaríem € antullar € VMCC1P00 € əntuʎəɾˈiəm
antullarien € antullar € VMCC3P00 € əntuʎəɾˈiən
antullaries € antullar € VMCC2S00 € əntuʎəɾˈiəs
antullaríeu € antullar € VMCC2P00 € əntuʎəɾˈiəw
antullat € antullar € VMP00SM0 € əntuʎˈat
antullats € antullar € VMP00PM0 € əntuʎˈats
antullava € antullar € VMII1S00 € əntuʎˈaβə
antullàvem € antullar € VMII1P00 € əntuʎˈaβəm
antullaven € antullar € VMII3P00 € əntuʎˈaβən
antullaves € antullar € VMII2S00 € əntuʎˈaβəs
antullàveu € antullar € VMII2P00 € əntuʎˈaβəw
antullem € antullar € VMIP1P00 € əntuʎˈɛm
antullem € antullar € VMM01P00 € əntuʎˈɛm
antullem € antullar € VMSP1P00 € əntuʎˈɛm
antullen € antullar € VMIP3P00 € əntˈuʎən
antulles € antullar € VMIP2S00 € əntˈuʎəs
antullés € antullar € VMSI1S01 € əntuʎˈes
antulléssim € antullar € VMSI1P02 € əntuʎˈesim
antullessin € antullar € VMSI3P02 € əntuʎˈesin
antullessis € antullar € VMSI2S02 € əntuʎˈesis
antulléssiu € antullar € VMSI2P02 € əntuʎˈesiw
antulleu € antullar € VMIP2P00 € əntuʎˈɛw
antulleu € antullar € VMM02P0X € əntuʎˈɛw
antulleu € antullar € VMSP2P00 € əntuʎˈɛw
antulli € antullar € VMM03S0Y € əntˈuʎi
antulli € antullar € VMSP1S0Y € əntˈuʎi
antullí € antullar € VMIS1S00 € əntuʎˈi
antullin € antullar € VMM03P0Y € əntˈuʎin
antullin € antullar € VMSP3P0Y € əntˈuʎin
antullis € antullar € VMSP2S0Y € əntˈuʎis
antullo € antullar € VMIP1S0C € əntˈuʎu
antulls € antull € NCMP000 € əntˈuʎs
anturi € anturi € NCMS000 € əntˈuɾi
anturis € anturi € NCMP000 € əntˈuɾis
anual € anual € AQ0CS0 € ənuˈal
anual € anual € NCFS000 € ənuˈal
anualitat € anualitat € NCFS000 € ənuəlitˈat
anualitats € anualitat € NCFP000 € ənuəlitˈats
anualment € anualment € ZRG € ənuˈalmˈen
anuals € anual € AQ0CP0 € ənuˈals
anuals € anual € NCFP000 € ənuˈals
anuari € anuari € NCMS000 € ənuˈaɾi
anuaris € anuari € NCMP000 € ənuˈaɾis
Anubis € Anubis € NPMSSP0 € ənˈuβis
anuència € anuència € NCFS000 € ənuˈɛnsiə
anuències € anuència € NCFP000 € ənuˈɛnsiəs
anuent € anuent € AQ0CS0 € ənuˈen
anuents € anuent € AQ0CP0 € ənuˈens
anulació € anulació € NCFS000 € ənuləsiˈo
anulacions € anulació € NCFP000 € ənuləsiˈons
anular € anular € AQ0CS0 € ənulˈar
anulars € anular € AQ0CP0 € ənulˈars
anul·la € anul·lar € VMIP3S00 € ənˈullə
anul·la € anul·lar € VMM02S00 € ənˈullə
anul·là € anul·lar € VMIS3S00 € ənullˈa
anul·labilitat € anul·labilitat € NCFS000 € ənulləβilitˈat
anul·labilitats € anul·labilitat € NCFP000 € ənulləβilitˈats
anul·lable € anul·lable € AQ0CS0 € ənullˈabblə
anul·lables € anul·lable € AQ0CP0 € ənullˈabbləs
anul·lació € anul·lació € NCFS000 € ənulləsiˈo
anul·lacions € anul·lació € NCFP000 € ənulləsiˈons
anul·lada € anul·lar € VMP00SF0 € ənullˈaðə
anul·lades € anul·lar € VMP00PF0 € ənullˈaðəs
anul·lador € anul·lador € AQ0MS0 € ənulləðˈo
anul·lador € anul·lador € NCMS000 € ənulləðˈo
anul·ladora € anul·lador € AQ0FS0 € ənulləðˈoɾə
anul·ladora € anul·lador € NCFS000 € ənulləðˈoɾə
anul·ladores € anul·lador € AQ0FP0 € ənulləðˈoɾəs
anul·ladores € anul·lador € NCFP000 € ənulləðˈoɾəs
anul·ladors € anul·lador € AQ0MP0 € ənulləðˈos
anul·ladors € anul·lador € NCMP000 € ənulləðˈos
anul·lament € anul·lament € NCMS000 € ənˈulləmˈen
anul·laments € anul·lament € NCMP000 € ənulləmˈens
anul·lant € anul·lar € VMG00000 € ənullˈan
anul·lar € anul·lar € VMN00000 € ənullˈa
anul·larà € anul·lar € VMIF3S00 € ənulləɾˈa
anul·laran € anul·lar € VMIF3P00 € ənulləɾˈan
anul·laràs € anul·lar € VMIF2S00 € ənulləɾˈas
anul·laré € anul·lar € VMIF1S00 € ənulləɾˈe
anul·larem € anul·lar € VMIF1P00 € ənulləɾˈɛm
anul·làrem € anul·lar € VMIS1P00 € ənullˈaɾəm
anul·laren € anul·lar € VMIS3P00 € ənullˈaɾən
anul·lares € anul·lar € VMIS2S00 € ənullˈaɾəs
anul·lareu € anul·lar € VMIF2P00 € ənulləɾˈɛw
anul·làreu € anul·lar € VMIS2P00 € ənullˈaɾəw
anul·laria € anul·lar € VMCC1S00 € ənulləɾˈiə
anul·laríem € anul·lar € VMCC1P00 € ənulləɾˈiəm
anul·larien € anul·lar € VMCC3P00 € ənulləɾˈiən
anul·laries € anul·lar € VMCC2S00 € ənulləɾˈiəs
anul·laríeu € anul·lar € VMCC2P00 € ənulləɾˈiəw
anul·lat € anul·lar € VMP00SM0 € ənullˈat
anul·latiu € anul·latiu € AQ0MS0 € ənullətˈiw
anul·latius € anul·latiu € AQ0MP0 € ənullətˈiws
anul·lativa € anul·latiu € AQ0FS0 € ənullətˈiβə
anul·latives € anul·latiu € AQ0FP0 € ənullətˈiβəs
anul·lats € anul·lar € VMP00PM0 € ənullˈats
anul·lava € anul·lar € VMII1S00 € ənullˈaβə
anul·làvem € anul·lar € VMII1P00 € ənullˈaβəm
anul·laven € anul·lar € VMII3P00 € ənullˈaβən
anul·laves € anul·lar € VMII2S00 € ənullˈaβəs
anul·làveu € anul·lar € VMII2P00 € ənullˈaβəw
anul·lem € anul·lar € VMIP1P00 € ənullˈɛm
anul·lem € anul·lar € VMM01P00 € ənullˈɛm
anul·lem € anul·lar € VMSP1P00 € ənullˈɛm
anul·len € anul·lar € VMIP3P00 € ənˈullən
anul·les € anul·lar € VMIP2S00 € ənˈulləs
anul·lés € anul·lar € VMSI1S01 € ənullˈes
anul·léssim € anul·lar € VMSI1P02 € ənullˈesim
anul·lessin € anul·lar € VMSI3P02 € ənullˈesin
anul·lessis € anul·lar € VMSI2S02 € ənullˈesis
anul·léssiu € anul·lar € VMSI2P02 € ənullˈesiw
anul·leu € anul·lar € VMIP2P00 € ənullˈɛw
anul·leu € anul·lar € VMM02P0X € ənullˈɛw
anul·leu € anul·lar € VMSP2P00 € ənullˈɛw
anul·li € anul·lar € VMM03S0Y € ənˈulli
anul·li € anul·lar € VMSP1S0Y € ənˈulli
anul·lí € anul·lar € VMIS1S00 € ənullˈi
anul·lin € anul·lar € VMM03P0Y € ənˈullin
anul·lin € anul·lar € VMSP3P0Y € ənˈullin
anul·lis € anul·lar € VMSP2S0Y € ənˈullis
anul·lo € anul·lar € VMIP1S0C € ənˈullu
anunci € anunci € NCMS000 € ənˈunsi
anuncia € anunciar € VMIP3S00 € ənunsˈiə
anuncia € anunciar € VMM02S00 € ənunsˈiə
anuncià € anunciar € VMIS3S00 € ənunsiˈa
Anunciació € Anunciació € NPFSSP0 € ənunsiəsiˈo
anunciació € anunciació € NCFS000 € ənunsiəsiˈo
anunciacions € anunciació € NCFP000 € ənunsiəsiˈons
anunciada € anunciar € VMP00SF0 € ənunsiˈaðə
anunciades € anunciar € VMP00PF0 € ənunsiˈaðəs
anunciador € anunciador € AQ0MS0 € ənunsiəðˈo
anunciadora € anunciador € AQ0FS0 € ənunsiəðˈoɾə
anunciadores € anunciador € AQ0FP0 € ənunsiəðˈoɾəs
anunciadors € anunciador € AQ0MP0 € ənunsiəðˈos
anunciament € anunciament € NCMS000 € ənunsiəmˈen
anunciaments € anunciament € NCMP000 € ənunsiəmˈens
anunciant € anunciant € AQ0CS0 € ənunsiˈan
anunciant € anunciant € NCCS000 € ənunsiˈan
anunciant € anunciar € VMG00000 € ənunsiˈan
anunciants € anunciant € AQ0CP0 € ənunsiˈans
anunciants € anunciant € NCCP000 € ənunsiˈans
anunciar € anunciar € VMN00000 € ənunsiˈa
anunciarà € anunciar € VMIF3S00 € ənunsiəɾˈa
anunciaran € anunciar € VMIF3P00 € ənunsiəɾˈan
anunciaràs € anunciar € VMIF2S00 € ənunsiəɾˈas
anunciaré € anunciar € VMIF1S00 € ənunsiəɾˈe
anunciarem € anunciar € VMIF1P00 € ənunsiəɾˈɛm
anunciàrem € anunciar € VMIS1P00 € ənunsiˈaɾəm
anunciaren € anunciar € VMIS3P00 € ənunsiˈaɾən
anunciares € anunciar € VMIS2S00 € ənunsiˈaɾəs
anunciareu € anunciar € VMIF2P00 € ənunsiəɾˈɛw
anunciàreu € anunciar € VMIS2P00 € ənunsiˈaɾəw
anunciaria € anunciar € VMCC1S00 € ənunsiəɾˈiə
anunciaríem € anunciar € VMCC1P00 € ənunsiəɾˈiəm
anunciarien € anunciar € VMCC3P00 € ənunsiəɾˈiən
anunciaries € anunciar € VMCC2S00 € ənunsiəɾˈiəs
anunciaríeu € anunciar € VMCC2P00 € ənunsiəɾˈiəw
anunciat € anunciar € VMP00SM0 € ənunsiˈat
Anunciata € Anunciata € NPFSSP0 € ənunsiˈatə
anunciata € anunciata € NCFS000 € ənunsiˈatə
Anunciates € Anunciata € NPFPSP0 € ənunsiˈatəs
anunciates € anunciata € NCFP000 € ənunsiˈatəs
anunciats € anunciar € VMP00PM0 € ənunsiˈats
anunciava € anunciar € VMII1S00 € ənunsiˈaβə
anunciàvem € anunciar € VMII1P00 € ənunsiˈaβəm
anunciaven € anunciar € VMII3P00 € ənunsiˈaβən
anunciaves € anunciar € VMII2S00 € ənunsiˈaβəs
anunciàveu € anunciar € VMII2P00 € ənunsiˈaβəw
anunciem € anunciar € VMIP1P00 € ənunsiˈɛm
anunciem € anunciar € VMM01P00 € ənunsiˈɛm
anunciem € anunciar € VMSP1P00 € ənunsiˈɛm
anuncien € anunciar € VMIP3P00 € ənunsˈiən
anuncies € anunciar € VMIP2S00 € ənunsˈiəs
anunciés € anunciar € VMSI1S01 € ənunsiˈes
anunciéssim € anunciar € VMSI1P02 € ənunsiˈesim
anunciessin € anunciar € VMSI3P02 € ənunsiˈesin
anunciessis € anunciar € VMSI2S02 € ənunsiˈesis
anunciéssiu € anunciar € VMSI2P02 € ənunsiˈesiw
anuncieu € anunciar € VMIP2P00 € ənunsiˈɛw
anuncieu € anunciar € VMM02P0X € ənunsiˈɛw
anuncieu € anunciar € VMSP2P00 € ənunsiˈɛw
anuncií € anunciar € VMIS1S00 € ənunsiˈi
anunciï € anunciar € VMM03S0Y € ənunsˈii
anunciï € anunciar € VMSP1S0Y € ənunsˈii
anunciïn € anunciar € VMM03P0Y € ənunsˈiin
anunciïn € anunciar € VMSP3P0Y € ənunsˈiin
anunciïs € anunciar € VMSP2S0Y € ənunsˈiis
anuncio € anunciar € VMIP1S0C € ənunsˈiu
anuncis € anunci € NCMP000 € ənˈunsis
anur € anur € AQ0MS0 € ənˈu
anur € anur € NCMS000 € ənˈu
anura € anur € AQ0FS0 € ənˈuɾə
Anuradhapura € Anuradhapura € NPCSG00 € ənuɾəðəpˈuɾə
anures € anur € AQ0FP0 € ənˈuɾəs
anuresi € anuresi € NCFS000 € ənuɾˈɛzi
anuresis € anuresi € NCFP000 € ənuɾˈɛzis
anúria € anúria € NCFS000 € ənˈuɾiə
anúries € anúria € NCFP000 € ənˈuɾiəs
anurs € anur € AQ0MP0 € ənˈus
anurs € anur € NCMP000 € ənˈus
anus € anus € NCMN000 € ˈanus
anuscòpia € anuscòpia € NCFS000 € ənuskˈɔpiə
Anvers € Anvers € NPCSG00 € əmbˈɛrs
anvers € anvers € NCMS000 € əmbˈɛrs
anversos € anvers € NCMP000 € əmbˈɛrsus
