coc € coure € VMIP1S00 € kˈɔk
codominància € codominància € NCFS000 € kuðuminˈansiə
codominàncies € codominància € NCFP000 € kuðuminˈansiəs
codons € codó € NCMP000 € kuðˈons
codony € codony € NCMS000 € kuðˈoɲ
codonya € codonya € NCFS000 € kuðˈoɲə
codonyar € codonyar € NCMS000 € kuðuɲˈa
codonyars € codonyar € NCMP000 € kuðuɲˈas
codonyat € codonyat € NCMS000 € kuðuɲˈat
codonyats € codonyat € NCMP000 € kuðuɲˈats
Codonyer € Codonyer € NPCNSP0 € kuðuɲˈe
codonyer € codonyer € NCMS000 € kuðuɲˈe
Codonyera € Codonyera € NPFSG00 € kuðuɲˈeɾə
codonyera € codonyera € NCFS000 € kuðuɲˈeɾə
codonyerar € codonyerar € NCMS000 € kuðuɲəɾˈa
codonyerars € codonyerar € NCMP000 € kuðuɲəɾˈas
codonyers € codonyer € NCMP000 € kuðuɲˈes
codonyes € codonya € NCFP000 € kuðˈɔɲəs
codonys € codony € NCMP000 € kuðˈoɲʃ
Codorniu € Codorniu € NPCNSP0 € kuðurnˈiw
Codroipo € Codroipo € NPCSG00 € kuðɾˈɔjpu
coedició € coedició € NCFS000 € kuəðisiˈo
coedicions € coedició € NCFP000 € kuəðisiˈons
coedita € coeditar € VMIP3S00 € kuəðˈitə
coedita € coeditar € VMM02S00 € kuəðˈitə
coedità € coeditar € VMIS3S00 € kuəðitˈa
coeditada € coeditar € VMP00SF0 € kuəðitˈaðə
coeditades € coeditar € VMP00PF0 € kuəðitˈaðəs
coeditant € coeditar € VMG00000 € kuəðitˈan
coeditar € coeditar € VMN00000 € kuəðitˈa
coeditarà € coeditar € VMIF3S00 € kuəðitəɾˈa
coeditaran € coeditar € VMIF3P00 € kuəðitəɾˈan
coeditaràs € coeditar € VMIF2S00 € kuəðitəɾˈas
coeditaré € coeditar € VMIF1S00 € kuəðitəɾˈe
coeditarem € coeditar € VMIF1P00 € kuəðitəɾˈɛm
coeditàrem € coeditar € VMIS1P00 € kuəðitˈaɾəm
coeditaren € coeditar € VMIS3P00 € kuəðitˈaɾən
coeditares € coeditar € VMIS2S00 € kuəðitˈaɾəs
coeditareu € coeditar € VMIF2P00 € kuəðitəɾˈɛw
coeditàreu € coeditar € VMIS2P00 € kuəðitˈaɾəw
coeditaria € coeditar € VMCC1S00 € kuəðitəɾˈiə
coeditaríem € coeditar € VMCC1P00 € kuəðitəɾˈiəm
coeditarien € coeditar € VMCC3P00 € kuəðitəɾˈiən
coeditaries € coeditar € VMCC2S00 € kuəðitəɾˈiəs
coeditaríeu € coeditar € VMCC2P00 € kuəðitəɾˈiəw
coeditat € coeditar € VMP00SM0 € kuəðitˈat
coeditats € coeditar € VMP00PM0 € kuəðitˈats
coeditava € coeditar € VMII1S00 € kuəðitˈaβə
coeditàvem € coeditar € VMII1P00 € kuəðitˈaβəm
coeditaven € coeditar € VMII3P00 € kuəðitˈaβən
coeditaves € coeditar € VMII2S00 € kuəðitˈaβəs
coeditàveu € coeditar € VMII2P00 € kuəðitˈaβəw
coeditem € coeditar € VMIP1P00 € kuəðitˈɛm
coeditem € coeditar € VMM01P00 € kuəðitˈɛm
coeditem € coeditar € VMSP1P00 € kuəðitˈɛm
coediten € coeditar € VMIP3P00 € kuəðˈitən
coedites € coeditar € VMIP2S00 € kuəðˈitəs
coedités € coeditar € VMSI1S01 € kuəðitˈes
coeditéssim € coeditar € VMSI1P02 € kuəðitˈesim
coeditessin € coeditar € VMSI3P02 € kuəðitˈesin
coeditessis € coeditar € VMSI2S02 € kuəðitˈesis
coeditéssiu € coeditar € VMSI2P02 € kuəðitˈesiw
coediteu € coeditar € VMIP2P00 € kuəðitˈɛw
coediteu € coeditar € VMM02P0X € kuəðitˈɛw
coediteu € coeditar € VMSP2P00 € kuəðitˈɛw
coediti € coeditar € VMM03S0Y € kuəðˈiti
coediti € coeditar € VMSP1S0Y € kuəðˈiti
coedití € coeditar € VMIS1S00 € kuəðitˈi
coeditin € coeditar € VMM03P0Y € kuəðˈitin
coeditin € coeditar € VMSP3P0Y € kuəðˈitin
coeditis € coeditar € VMSP2S0Y € kuəðˈitis
coedito € coeditar € VMIP1S0C € kuəðˈitu
coeditor € coeditor € AQ0MS0 € kuəðitˈo
coeditor € coeditor € NCMS000 € kuəðitˈo
coeditora € coeditor € AQ0FS0 € kuəðitˈoɾə
coeditora € coeditor € NCFS000 € kuəðitˈoɾə
coeditores € coeditor € AQ0FP0 € kuəðitˈoɾəs
coeditores € coeditor € NCFP000 € kuəðitˈoɾəs
coeditors € coeditor € AQ0MP0 € kuəðitˈos
coeditors € coeditor € NCMP000 € kuəðitˈos
coeducació € coeducació € NCFS000 € kuəðukəsiˈo
coeducacions € coeducació € NCFP000 € kuəðukəsiˈons
coeficient € coeficient € AQ0CS0 € kuəfisiˈen
coeficient € coeficient € NCMS000 € kuəfisiˈen
coeficients € coeficient € AQ0CP0 € kuəfisiˈens
coeficients € coeficient € NCMP000 € kuəfisiˈens
coegi € coejar € VMM03S0Y € kuˈɛʒi
coegi € coejar € VMSP1S0Y € kuˈɛʒi
coem € coure € VMIP1P00 € kuˈɛm
Coen € Coen € NPCNSP0 € kˈɔən
coent € coent € AQ0CS0 € kuˈen
coent € coure € VMG00000 € kuˈen
coenta € coent € AQ0FS0 € kuˈentə
coentes € coent € AQ0FP0 € kuˈentəs
coentor € coentor € NCFS000 € kuəntˈo
coentors € coentor € NCFP000 € kuəntˈos
coents € coent € AQ0CP0 € kuˈens
coenzim € coenzim € NCMS000 € kuənzˈim
coenzims € coenzim € NCMP000 € kuənzˈims
coer € coer € NCMS000 € kuˈɛ
coerceix € coercir € VMIP3S00 € kuərsˈɛʃ
coerceix € coercir € VMM02S00 € kuərsˈɛʃ
coerceixen € coercir € VMIP3P00 € kuərsˈɛʃən
coerceixes € coercir € VMIP2S00 € kuərsˈɛʃəs
coerceixi € coercir € VMM03S0Y € kuərsˈɛʃi
coerceixi € coercir € VMSP1S0Y € kuərsˈɛʃi
coerceixin € coercir € VMM03P0Y € kuərsˈɛʃin
coerceixin € coercir € VMSP3P0Y € kuərsˈɛʃin
coerceixis € coercir € VMSP2S0Y € kuərsˈɛʃis
coerceixo € coercir € VMIP1S0C € kuərsˈɛʃu
coercí € coercir € VMIS1S00 € kuərsˈi
coercia € coercir € VMII1S00 € kuərsˈiə
coercibilitat € coercibilitat € NCFS000 € kuərsiβilitˈat
coercibilitats € coercibilitat € NCFP000 € kuərsiβilitˈats
coercible € coercible € AQ0CS0 € kuərsˈibblə
coercibles € coercible € AQ0CP0 € kuərsˈibbləs
coercida € coercir € VMP00SF0 € kuərsˈiðə
coercides € coercir € VMP00PF0 € kuərsˈiðəs
coercíem € coercir € VMII1P00 € kuərsˈiəm
coercien € coercir € VMII3P00 € kuərsˈiən
coercies € coercir € VMII2S00 € kuərsˈiəs
coercíeu € coercir € VMII2P00 € kuərsˈiəw
coercim € coercir € VMIP1P00 € kuərsˈim
coercim € coercir € VMM01P00 € kuərsˈim
coercim € coercir € VMSP1P00 € kuərsˈim
coercint € coercir € VMG00000 € kuərsˈin
coerció € coerció € NCFS000 € kuərsiˈo
coercions € coerció € NCFP000 € kuərsiˈons
coercir € coercir € VMN00000 € kuərsˈi
coercirà € coercir € VMIF3S00 € kuərsiɾˈa
coerciran € coercir € VMIF3P00 € kuərsiɾˈan
coerciràs € coercir € VMIF2S00 € kuərsiɾˈas
coerciré € coercir € VMIF1S00 € kuərsiɾˈe
coercirem € coercir € VMIF1P00 € kuərsiɾˈɛm
coercírem € coercir € VMIS1P00 € kuərsˈiɾəm
coerciren € coercir € VMIS3P00 € kuərsˈiɾən
coercires € coercir € VMIS2S00 € kuərsˈiɾəs
coercireu € coercir € VMIF2P00 € kuərsiɾˈɛw
coercíreu € coercir € VMIS2P00 € kuərsˈiɾəw
coerciria € coercir € VMCC1S00 € kuərsiɾˈiə
coerciríem € coercir € VMCC1P00 € kuərsiɾˈiəm
coercirien € coercir € VMCC3P00 € kuərsiɾˈiən
coerciries € coercir € VMCC2S00 € kuərsiɾˈiəs
coerciríeu € coercir € VMCC2P00 € kuərsiɾˈiəw
coercís € coercir € VMSI1S01 € kuərsˈis
coercíssim € coercir € VMSI1P02 € kuərsˈisim
coercissin € coercir € VMSI3P02 € kuərsˈisin
coercissis € coercir € VMSI2S02 € kuərsˈisis
coercíssiu € coercir € VMSI2P02 € kuərsˈisiw
coercit € coercir € VMP00SM0 € kuərsˈit
coercitiu € coercitiu € AQ0MS0 € kuərsitˈiw
coercitius € coercitiu € AQ0MP0 € kuərsitˈiws
coercitiva € coercitiu € AQ0FS0 € kuərsitˈiβə
coercitives € coercitiu € AQ0FP0 € kuərsitˈiβəs
coercitivitat € coercitivitat € NCFS000 € kuərsitiβitˈat
coercitivitats € coercitivitat € NCFP000 € kuərsitiβitˈats
coercits € coercir € VMP00PM0 € kuərsˈits
coerciu € coercir € VMIP2P00 € kuərsˈiw
coerciu € coercir € VMM02P00 € kuərsˈiw
coerciu € coercir € VMSP2P00 € kuərsˈiw
coers € coer € NCMP000 € kuˈɛs
coes € coa € NCFP000 € kˈɔəs
coesita € coesita € NCFS000 € kuəzˈitə
coesites € coesita € NCFP000 € kuəzˈitəs
coespecífic € coespecífic € AQ0MS0 € kuəspəsˈifik
coespecífica € coespecífic € AQ0FS0 € kuəspəsˈifikə
coesposa € coesposa € NCFS000 € kuəspˈozə
coesposes € coesposa € NCFP000 € kuəspˈozəs
coet € coet € NCMS000 € kuˈɛt
coeta € coeta € NCFS000 € kuˈɛtə
coetaire € coetaire € NCCS000 € kuətˈajɾə
coetaires € coetaire € NCCP000 € kuətˈajɾəs
